data_year,population,total_agency_count,published_agency_count,active_agency_count,covered_agency_count,population_covered,agency_count_nibrs_submitting,agency_count_leoka_submitting,agency_count_pe_submitting,agency_count_srs_submitting
2019,331840279,0,0,0,0,0,0,6244,0,0
2018,426203279,15123,15105,15123,18,14996,5995,11134,15123,15123
2017,334134228,16082,16007,16071,64,171953,7113,6180,16082,16082
2016,337990559,17437,17429,17436,7,80974,7542,6464,17437,17437
2015,343887734,17423,17422,17423,1,717,7362,6217,17423,17423
2014,336861983,17390,17389,17389,0,0,7448,6343,17390,17390
2013,336448773,17437,17437,17437,0,0,7196,5591,17437,17437
2012,330867842,17187,17187,17187,0,0,6878,4984,17187,17187
2011,328788301,17281,17280,17280,0,0,6740,5300,17281,17281
2010,327831270,17321,17321,17321,0,0,6746,5000,17321,17321
2009,324375505,16621,16621,16621,0,0,6467,3660,16621,16621
2008,322857271,16445,16445,16445,0,0,6158,2407,16445,16445
2007,319212469,16302,16302,16302,0,0,5816,2078,16302,16302
2006,317790109,16045,16044,16044,0,0,5815,1722,16045,16045
2005,317862979,15427,15427,15427,0,0,5705,1429,15427,15427
2004,316866776,15295,15294,15294,0,0,5336,1066,15295,15295
2003,318477770,14880,14880,14880,0,0,5155,167,14880,14880
2002,311122450,14770,14770,14770,0,0,4748,0,14770,14770
2001,309762400,14122,14122,14122,0,0,4390,0,14122,14122
2000,309128731,14031,14031,14031,0,0,4237,0,14031,14031
1999,301205361,13214,13214,13214,0,0,3342,0,13214,13214
1998,294131134,12550,12550,12550,0,0,3313,0,12550,12550
1997,296699400,12881,12880,12880,0,0,2371,0,12881,12881
1996,291123275,12543,12542,12542,0,0,1902,0,12543,12543
1995,294280610,13274,13274,13274,0,0,1561,0,13274,13274